"[Quote] Number","[Quote] Has Lead?","[Quote] Job Number"
"Q25216","Yes",""
"Q25216-1","Yes","D044"
"Q25217","Yes",""
"Q25218","Yes","D001"
"Q25218-1","Yes","D001"
"Q25219","Yes",""
"Q25219-1","Yes",""
"Q25220","Yes",""
"Q25220-1","Yes",""
"Q25221","Yes",""
"Q25221-1","Yes",""
"Q25222","No",""
"Q25222-1","Yes",""
"Q25223","No",""
"Q25223-1","No",""
"Q25223-2","Yes",""
"Q25224","No","D043-S"
"Q25225","No","D045-S"
"Q25226","No",""
"Q25227","Yes","D047"
"Q25228","Yes",""
"Q25230","Yes",""
"Q25231","Yes","D052"
"Q25232","Yes","D046"
"Q25233","No",""
"Q25233-1","No",""
"Q25234","Yes",""
"Q25235","Yes","D048"
"Q25237","Yes","D055-S"
"Q25239","Yes","D051-S"
"Q25240","Yes",""
"Q25241","No","D050-S"
"Q25242","No",""
"Q25243","Yes","D084"
"Q25244","Yes",""
"Q25244-1","Yes",""
"Q25245","No","B378"
"Q25246","Yes",""
"Q25247","Yes",""
"Q25247-1","Yes","D060-S"
"Q25248","No",""
"Q25248-1","No",""
"Q25249","No",""
"Q25250","No",""
"Q25251","Yes",""
"Q25251-1","Yes","D063"
"Q25252","Yes",""
"Q25253","No",""
"Q25254","No",""
"Q25255","Yes",""
"Q25255-1","Yes","D062-S"
"Q25256","Yes",""
"Q25257","Yes",""
"Q25258","Yes",""
"Q25258-1","Yes","D054-S"
"Q25259","Yes","D053"
"Q25260","Yes","D056-S"
"Q25261","Yes",""
"Q25262","Yes","D058-S"
"Q25263","No","D058-S"
"Q25264","Yes","D066-S"
"Q25265","Yes",""
"Q25265-1","Yes",""
"Q25265-2","Yes",""
"Q25265-3","Yes","D065"
"Q25266","Yes",""
"Q25267","Yes",""
"Q25268","Yes","D071-S"
"Q25269","Yes",""
"Q25269-1","Yes","D078-S"
"Q25270","Yes","D064-S"
"Q25272","Yes",""
"Q25273","Yes",""
"Q25274","Yes",""
"Q25274-1","Yes",""
"Q25276","Yes","D067-S"
"Q25277","Yes",""
"Q25278","Yes","D070-S"
"Q25279","Yes",""
"Q25280","Yes",""
"Q25280-1","Yes","D075-S"
"Q25281","Yes","D069-S"
"Q25282","Yes",""
"Q25282-1","Yes","D077"
"Q25283","Yes",""
"Q25284","Yes",""
"Q25285","No","D068-S (Deleted: 1775491789)"
"Q25286","No","D068-S"
"Q25286-1","Yes","D068-S"
"Q25287","No",""
"Q25288","Yes",""
"Q25288-1","Yes","D090-S"
"Q25289","Yes",""
"Q25290","Yes",""
"Q25290-1","Yes","D094-S"
"Q25291","Yes",""
"Q25292","Yes","D072-S"
"Q25293","Yes","D088-S"
"Q25294","Yes",""
"Q25294-1","Yes",""
"Q25295","Yes","D074-S"
"Q25296","Yes",""
"Q25297","Yes",""
"Q25298","No","D074-S"
"Q25299","Yes",""
"Q25300","Yes",""
"Q25301","Yes","D080-S"
"Q25302","Yes",""
"Q25303","No",""
"Q25303-1","Yes",""
"Q25304","Yes",""
"Q25304-1","Yes","D081-S"
"Q25306","Yes",""
"Q25307","No","D080-S"
"Q25308","No","D073"
"Q25309","Yes","D082-S"
"Q25310","Yes",""
"Q25311","No","D082-S"
"Q25312","No",""
"Q25313","Yes",""
"Q25314","Yes","D105-S"
"Q25315","No","D083-S"
"Q25316","Yes","D085-S"
"Q25317","Yes","D086"
"Q25318","Yes","D096-S"
"Q25319","Yes","D092-S"
"Q25320","Yes",""
"Q25321","Yes",""
"Q25322","Yes","D093"
"Q25323","Yes",""
"Q25324","Yes","D087-S"
"Q25325","Yes",""
"Q25326","Yes",""
"Q25327","Yes",""
"Q25328","Yes","D098-S"
"Q25329","Yes",""
"Q25330","Yes","D095"
"Q25331","Yes","D099"
"Q25332","Yes","D102-S"
"Q25333","Yes","D097-S"
"Q25334","Yes",""
"Q25335","Yes",""
"Q25336","Yes","D106"
"Q25337","Yes","D104-S"
"Q25338","Yes",""
"Q25339","Yes",""
"Q25340","Yes",""
"Q25341","Yes",""
"Q25342","Yes","D101-S"
"Q25343","Yes","D103-D"
"Q25344","Yes",""
"Q25345","Yes",""
"Q25346","Yes",""
"Q25347","Yes",""
"Q25348","Yes",""
"Q25349","Yes",""
"Q25350","Yes",""
"Q25351","Yes","D107-S"
"Q25352","Yes",""
"Q25353","Yes",""
"Q25354","Yes",""
